retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
dreyj001,LAN,2025-08-12,0.2,1,0,0,0,0,0,0,0,2.0,0.0,,,,
dubis001,HOU,2025-06-20,0.1,1,0,0,1,1,0,0,0,4.0,0.0,,,,
dunnd001,TEX,2025-07-08,2.0,0,0,0,0,3,0,0,0,15.0,0.0,,,,
dunnd001,TEX,2025-07-10,0.2,1,1,1,0,1,0,0,0,2.0,0.0,,,,
durae002,TEX,2025-07-08,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
ederj001,ANA,2025-05-02,0.1,1,2,2,1,0,0,0,0,-5.0,0.0,,,,
ederj001,ANA,2025-05-25,2.0,0,0,0,1,2,0,0,0,12.0,0.0,,,,
ederj001,ANA,2025-05-27,1.0,0,0,0,2,1,0,0,0,6.0,0.0,,,,
ederj001,ANA,2025-07-13,4.0,2,0,0,1,4,0,0,0,24.0,0.0,,,,
edwac001,ANA,2025-04-23,1.0,1,1,1,1,1,0,0,0,3.0,0.0,,,,
efliz001,BAL,2025-05-11,5.0,5,2,2,2,5,1,0,0,30.0,0.0,,,,
eiseb001,CHA,2025-08-02,1.2,0,0,0,0,1,0,0,0,8.0,0.0,,,,
eovan001,TEX,2025-07-08,6.0,5,1,0,0,6,1,0,1,46.0,0.0,,,,
eovan001,TEX,2025-07-30,7.0,6,1,1,2,4,1,0,1,40.0,0.0,,,,
evanl001,SEA,2025-07-24,5.0,3,1,1,3,3,1,0,0,27.0,0.0,,,,
fairp001,TBA,2025-08-05,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
fairp001,TBA,2025-08-06,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
faltb001,PIT,2025-04-22,4.0,5,3,3,0,5,0,0,0,18.0,0.0,,,,
farrm001,ANA,2025-09-07,6.0,3,2,2,1,4,0,0,1,28.0,0.0,,,,
farrm001,ANA,2025-09-25,5.0,5,4,4,2,5,0,1,0,18.0,0.0,,,,
faucc001,MIA,2025-05-25,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
fergc001,PIT,2025-04-23,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
fergt001,ATH,2025-06-09,1.0,3,3,3,1,1,0,0,0,-3.0,0.0,,,,
fergt001,ATH,2025-06-10,1.2,0,0,0,0,2,0,0,0,11.0,0.0,,,,
fergt001,ATH,2025-09-07,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
fermj002,ANA,2025-05-01,0.2,1,0,0,0,2,0,0,0,8.0,0.0,,,,
fermj002,ANA,2025-05-04,1.0,2,3,3,1,2,0,0,0,0.0,0.0,,,,
fermj002,ANA,2025-05-06,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
fermj002,ANA,2025-05-08,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
fermj002,ANA,2025-05-10,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
fermj002,ANA,2025-06-08,1.2,1,0,0,0,3,0,0,0,14.0,0.0,,,,
fermj002,ANA,2025-06-28,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
fermj002,ANA,2025-06-29,1.0,0,0,0,1,0,0,0,0,3.0,0.0,,,,
fermj002,ANA,2025-07-09,1.0,0,0,0,0,0,1,0,0,9.0,0.0,,,,
fermj002,ANA,2025-07-11,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
fermj002,ANA,2025-07-12,0.1,1,2,2,2,1,0,0,0,-2.0,0.0,,,,
fermj002,ANA,2025-07-24,1.0,1,1,1,0,2,0,0,0,6.0,0.0,,,,
fermj002,ANA,2025-07-26,0.0,1,3,3,2,0,0,1,0,-9.0,0.0,,,,
