player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Michael Busch,Chicago Cubs,$3300,4.33,4.9,0.78,1.08,0.61,0.28,0.01,0.25,0.84,0.03,0.02,0.66,1.56,0.256,0.358,0.531,0.889,14.3,CHC @ CHW
Pete Crow-Armstrong,Chicago Cubs,$4000,3.02,4.56,0.65,1.16,0.82,0.24,0.01,0.18,0.5,0.19,0.05,0.2,1.13,0.272,0.324,0.478,0.802,12.1,CHC @ CHW
Brooks Baldwin,Chicago White Sox,$2600,2.81,3.65,0.37,0.67,0.42,0.16,0.05,0.08,0.33,0.11,0.02,0.21,1.03,0.201,0.251,0.363,0.615,7.3,CHC @ CHW
Matt Shaw,Chicago Cubs,$2500,3.64,4.01,0.58,0.82,0.58,0.15,0.04,0.09,0.42,0.09,0.04,0.34,0.72,0.229,0.3,0.38,0.68,9.1,CHC @ CHW
Chase Meidroth,Chicago White Sox,$2800,3.0,4.42,0.45,1.04,0.83,0.19,0.03,0.04,0.3,0.09,0.06,0.32,0.66,0.262,0.319,0.373,0.692,8.4,CHC @ CHW
Kyle Teel,Chicago White Sox,$2700,2.93,4.09,0.47,0.77,0.57,0.15,0.04,0.05,0.39,0.02,0.01,0.43,1.12,0.212,0.299,0.329,0.628,7.9,CHC @ CHW
Colson Montgomery,Chicago White Sox,$2500,3.08,3.87,0.37,0.77,0.49,0.22,0,0.11,0.35,0,0.01,0.37,0.81,0.23,0.307,0.404,0.71,7.7,CHC @ CHW
Freddie Freeman,Los Angeles Dodgers,$3300,3.82,4.61,0.65,1.15,0.73,0.27,0.02,0.2,0.87,0.01,0.03,0.31,0.9,0.273,0.324,0.508,0.833,12.6,LAD @ BOS
Mookie Betts,Los Angeles Dodgers,$3100,3.94,4.95,0.75,1.35,1.01,0.32,0.03,0.07,0.61,0.06,0.03,0.41,0.6,0.301,0.357,0.45,0.807,12.2,LAD @ BOS
Michael Conforto,Los Angeles Dodgers,$2600,4.42,4.39,0.64,0.9,0.57,0.17,0.01,0.2,0.65,0,0.02,0.6,0.99,0.242,0.353,0.47,0.823,11.5,LAD @ BOS
Trevor Story,Boston Red Sox,$3100,3.23,4.37,0.5,0.92,0.6,0.24,0.02,0.14,0.54,0.12,0.03,0.22,1.38,0.221,0.262,0.411,0.673,10,LAD @ BOS
Alex Bregman,Boston Red Sox,$3300,3.82,4.59,0.62,1.22,0.77,0.33,0,0.2,0.76,0.01,0.01,0.36,0.8,0.296,0.355,0.541,0.896,12.6,LAD @ BOS
Teoscar Hernandez,Los Angeles Dodgers,$3400,3.71,4.5,0.66,1.16,0.68,0.31,0,0.2,0.78,0.05,0.05,0.37,1.02,0.284,0.345,0.514,0.859,12.6,LAD @ BOS
Shohei Ohtani,Los Angeles Dodgers,$4600,4.54,4.84,1.28,1.45,0.8,0.28,0.02,0.47,1.18,0.12,0.02,0.56,0.95,0.35,0.436,0.798,1.234,20.9,LAD @ BOS
Will Smith,Los Angeles Dodgers,$3400,4.65,4.72,1.08,1.3,0.76,0.34,0.03,0.23,0.82,0.02,0.01,0.63,0.89,0.322,0.419,0.611,1.03,15.8,LAD @ BOS
Tommy Edman,Los Angeles Dodgers,$2800,4.18,4.06,0.71,1.18,0.82,0.23,0.01,0.15,0.64,0.08,0.01,0.31,0.7,0.322,0.377,0.522,0.899,11.7,LAD @ BOS
Abraham Toro,Boston Red Sox,$2500,3.2,3.92,0.44,0.9,0.6,0.24,0.01,0.06,0.43,0.02,0,0.27,0.7,0.253,0.309,0.381,0.69,8,LAD @ BOS
Connor Wong,Boston Red Sox,$2100,3.05,3.81,0.32,0.62,0.46,0.14,0.01,0.05,0.3,0.02,0.01,0.34,0.99,0.185,0.277,0.283,0.56,6.4,LAD @ BOS
Jarren Duran,Boston Red Sox,$3200,3.72,4.7,0.65,1.07,0.73,0.31,0.03,0.09,0.56,0.19,0.07,0.42,1.04,0.255,0.326,0.424,0.75,11.9,LAD @ BOS
Masataka Yoshida,Boston Red Sox,$2600,3.85,4.26,0.52,1.02,0.74,0.23,0.01,0.09,0.49,0.1,0.01,0.35,0.69,0.269,0.34,0.427,0.768,10,LAD @ BOS
