player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Seiya Suzuki,Chicago Cubs,$3600,3.72,4.42,0.74,1.15,0.65,0.32,0.01,0.25,0.65,0.05,0.04,0.43,1.09,0.294,0.371,0.594,0.965,13.4,SF @ CHC
Heliot Ramos,San Francisco Giants,$3100,2.58,4.16,0.35,0.87,0.62,0.17,0,0.13,0.43,0.04,0.01,0.22,1.34,0.223,0.268,0.377,0.646,8,SF @ CHC
Michael Busch,Chicago Cubs,$3000,3.57,4.31,0.56,0.94,0.68,0.09,0.02,0.18,0.56,0.04,0.04,0.52,1.22,0.257,0.361,0.453,0.813,10.7,SF @ CHC
Patrick Bailey,San Francisco Giants,$2400,3.21,3.94,0.43,0.78,0.57,0.16,0,0.1,0.48,0.01,0,0.21,0.81,0.215,0.261,0.354,0.615,7.7,SF @ CHC
Pete Crow-Armstrong,Chicago Cubs,$3800,2.87,3.98,0.52,1.09,0.72,0.29,0.01,0.11,0.56,0.16,0.03,0.3,0.92,0.306,0.365,0.497,0.863,10.9,SF @ CHC
Jung Hoo Lee,San Francisco Giants,$3300,2.79,4.49,0.41,1.08,0.91,0.16,0,0.08,0.51,0.05,0.02,0.33,0.5,0.271,0.332,0.383,0.715,9.2,SF @ CHC
Christian Koss,San Francisco Giants,$2100,3.57,3.83,0.4,0.81,0.63,0.12,0,0.08,0.42,0,0.02,0.32,0.92,0.235,0.31,0.354,0.665,7.5,SF @ CHC
Jose Altuve,Houston Astros,$3100,3.55,4.64,0.64,1.15,0.78,0.25,0.01,0.17,0.38,0.09,0.02,0.35,0.7,0.27,0.326,0.466,0.792,11,HOU @ MIL
Christian Yelich,Milwaukee Brewers,$3400,3.0,4.34,0.54,0.91,0.61,0.2,0.02,0.14,0.48,0.11,0.04,0.36,1.02,0.234,0.306,0.415,0.72,10.2,HOU @ MIL
Christian Walker,Houston Astros,$2800,3.71,4.31,0.58,0.79,0.56,0.13,0,0.16,0.57,0.04,0,0.57,0.93,0.219,0.331,0.404,0.735,10.4,HOU @ MIL
Rhys Hoskins,Milwaukee Brewers,$2700,3.59,4,0.45,0.81,0.53,0.11,0.02,0.21,0.58,0.02,0.01,0.34,1.23,0.23,0.304,0.465,0.769,9.7,HOU @ MIL
Jake Bauers,Milwaukee Brewers,$2500,3.76,3.89,0.58,0.77,0.45,0.19,0.01,0.16,0.44,0.04,0.02,0.37,1.37,0.222,0.303,0.432,0.734,9.4,HOU @ MIL
