Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117427-165522,P,Tommy,Tommy Mace,Mace,,0,5500,LAD@CLE,CLE,LAD,,,,,,P
117427-165521,P,Doug,Doug Nikhazy,Nikhazy,0,1,5500,LAD@CLE,CLE,LAD,,,,,,P
117427-165531,P,Sam,Sam Weatherly,Weatherly,,0,5500,COL@CHC,COL,CHC,,,,,,P
117427-165528,P,Joe,Joe Rock,Rock,,0,5500,MIN@TB,TB,MIN,,,,,,P
117427-165529,P,Jaden,Jaden Hill,Hill,6.666666666666667,3,5500,COL@CHC,COL,CHC,,,,,,P
117427-165534,P,Norge,Norge Vera,Vera,,0,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-202402,P,Justin,Justin Sterner,Sterner,6.16,25,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-222881,P,Ryan,Ryan Johnson,Johnson,4.769230769230769,14,5500,NYY@LAA,LAA,NYY,,,,,,P
117427-38563,P,Yimi,Yimi Garcia,Garcia,5.285714285714286,21,5500,TOR@TEX,TOR,TEX,IL,Shoulder,,,,P
117427-169636,P,Beau,Beau Brieske,Brieske,3.8823529411764706,17,5500,SF@DET,DET,SF,,,,,,P
117427-161450,P,Janson,Janson Junk,Junk,24,1,5500,MIA@SD,MIA,SD,,,,,,P
117427-165545,P,Tanner,Tanner McDougal,McDougal,,0,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-222898,P,Mason,Mason Fluharty,Fluharty,5.7,22,5500,TOR@TEX,TOR,TEX,,,,,,P
117427-165553,P,Dylan,Dylan Smith,Smith,,0,5500,SF@DET,DET,SF,,,,,,P
117427-14006,P,Brian,Brian Moran,Moran,,0,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-165566,P,Ben,Ben Kudrna,Kudrna,,0,5500,CIN@KC,KC,CIN,,,,,,P
117427-165564,P,Frank,Frank Mozzicato,Mozzicato,,0,5500,CIN@KC,KC,CIN,,,,,,P
117427-165570,P,Ben,Ben Hernandez,Hernandez,,0,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-38596,P,Chris,Chris Martin,Martin,5.8,22,5500,TOR@TEX,TEX,TOR,IL,Shoulder,,,,P
117427-165572,P,Noah,Noah Murdock,Murdock,3.4615384615384617,14,5500,CIN@KC,KC,CIN,,,,,,P
117427-165577,P,Sam,Sam Bachman,Bachman,0,2,5500,NYY@LAA,LAA,NYY,,,,,,P
117427-165582,P,Robinson,Robinson Pina,Pina,,0,5500,MIA@SD,MIA,SD,,,,,,P
117427-165586,P,Mason,Mason Albright,Albright,,0,5500,COL@CHC,COL,CHC,,,,,,P
117427-198354,P,Anthony,Anthony Molina,Molina,6,1,5500,COL@CHC,COL,CHC,,,,,,P
117427-222930,P,Logan,Logan VanWey,VanWey,3.2857142857142856,7,5500,ATH@HOU,HOU,ATH,,,,,,P
117427-165584,P,Alejandro,Alejandro Hidalgo,Hidalgo,,0,5500,MIN@TB,MIN,TB,,,,,,P
117427-165585,P,Erik,Erik Rivera,Rivera,,0,5500,BOS@MIL,BOS,MIL,,,,,,P
117427-198352,P,Shane,Shane Drohan,Drohan,0,1,5500,BOS@MIL,BOS,MIL,IL,Forearm,,,,P
117427-222928,P,Michael,Michael Darrell-Hicks,Darrell-Hicks,3.8333333333333335,6,5500,NYY@LAA,LAA,NYY,,,,,,P
117427-198357,P,Ryan,Ryan Fernandez,Fernandez,1.4,11,5500,STL@BAL,STL,BAL,,,,,,P
117427-198356,P,Justin,Justin Slaten,Slaten,4.363636363636363,23,5500,BOS@MIL,BOS,MIL,,,,,,P
117427-165594,P,Carlos,Carlos Duran,Duran,-8,1,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-165595,P,Maddux,Maddux Bruns,Bruns,,0,5500,LAD@CLE,LAD,CLE,IL,Back,,,,P
117427-198361,P,Carson,Carson Coleman,Coleman,0,1,5500,NYY@LAA,NYY,LAA,IL,Undisclosed,,,,P
117427-112348,P,Cody,Cody Stashak,Stashak,,0,5500,ATL@PHI,PHI,ATL,,,,,,P
117427-14049,P,Bryan,Bryan Shaw,Shaw,2.4,5,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-141024,P,Bruce,Bruce Zimmermann,Zimmermann,0,1,5500,BOS@MIL,MIL,BOS,,,,,,P
117427-181985,P,Guillo,Guillo Zuniga,Zuniga,4.214285714285714,15,5500,ATL@PHI,PHI,ATL,,,,,,P
117427-181992,P,Jose,Jose Hernandez,Hernandez,4,8,5500,LAD@CLE,LAD,CLE,,,,,,P
117427-165609,P,Zach,Zach McCambley,McCambley,,0,5500,MIA@SD,MIA,SD,,,,,,P
117427-182006,P,Nic,Nic Enright,Enright,6,2,5500,LAD@CLE,CLE,LAD,,,,,,P
117427-165621,P,Russell,Russell Smith,Smith,,0,5500,BOS@MIL,MIL,BOS,IL,Undisclosed,,,,P
117427-182005,P,Kevin,Kevin Kelly,Kelly,3,5,5500,MIN@TB,TB,MIN,IL,Thigh,,,,P
117427-165624,P,Dom,Dom Hamel,Hamel,,0,5500,CWS@NYM,NYM,CWS,,,,,,P
117427-165625,P,Calvin,Calvin Ziegler,Ziegler,,0,5500,CWS@NYM,NYM,CWS,O,Elbow,,,,P
117427-165628,P,Josh,Josh Walker,Walker,9,3,5500,TOR@TEX,TOR,TEX,,,,,,P
117427-165635,P,Brendan,Brendan Beck,Beck,,0,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-165637,P,Brock,Brock Selvidge,Selvidge,,0,5500,NYY@LAA,NYY,LAA,IL,Biceps,,,,P
117427-165642,P,Mason,Mason Miller,Miller,6.7368421052631575,19,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-161545,P,Kaleb,Kaleb Ort,Ort,5.3076923076923075,13,5500,ATH@HOU,HOU,ATH,,,,,,P
117427-165650,P,Grant,Grant Holman,Holman,6.428571428571429,14,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-194323,P,Hunter,Hunter Stratton,Stratton,-3.5,2,5500,PIT@ARI,PIT,ARI,,,,,,P
117427-194320,P,Andrew,Andrew Saalfrank,Saalfrank,-4.5,3,5500,PIT@ARI,ARI,PIT,NA,Suspension,,,,P
117427-165649,P,Colin,Colin Peluse,Peluse,,0,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-165653,P,Cristian,Cristian Hernandez,Hernandez,,0,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-161563,P,Jovani,Jovani Moran,Moran,,0,5500,BOS@MIL,BOS,MIL,IL,Elbow,,,,P
117427-165657,P,Anthony,Anthony Solometo,Solometo,,0,5500,PIT@ARI,PIT,ARI,IL,Shoulder,,,,P
117427-165671,P,Victor,Victor Lizarraga,Lizarraga,,0,5500,MIA@SD,SD,MIA,,,,,,P
117427-165674,P,Adam,Adam Macko,Macko,0,1,5500,TOR@TEX,TOR,TEX,O,Knee,,,,P
117427-165673,P,Levi,Levi Stoudt,Stoudt,0,1,5500,STL@BAL,BAL,STL,,,,,,P
117427-182062,P,Gus,Gus Varland,Varland,5.230769230769231,26,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-165682,P,Michael,Michael Morales,Morales,,0,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-182064,P,Chris,Chris Clarke,Clarke,,0,5500,COL@CHC,CHC,COL,,,,,,P
117427-182065,P,Zach,Zach Greene,Greene,,0,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-165687,P,Will,Will Bednar,Bednar,,0,5500,SF@DET,SF,DET,,,,,,P
117427-165684,P,Matt,Matt Mikulski,Mikulski,,0,5500,SF@DET,SF,DET,,,,,,P
117427-165691,P,Manuel,Manuel Mercedes,Mercedes,,0,5500,SF@DET,SF,DET,,,,,,P
117427-165695,P,Edwin,Edwin Nunez,Nunez,,0,5500,STL@BAL,STL,BAL,,,,,,P
117427-165696,P,Ian,Ian Bedell,Bedell,,0,5500,STL@BAL,STL,BAL,,,,,,P
117427-116548,P,Tyler,Tyler Rogers,Rogers,5.32,25,5500,SF@DET,SF,DET,,,,,,P
117427-165719,P,Irv,Irv Carter,Carter,,0,5500,TOR@TEX,TOR,TEX,,,,,,P
117427-165716,P,Sem,Sem Robberse,Robberse,0,2,5500,STL@BAL,STL,BAL,IL,Elbow,,,,P
117427-165722,P,Chad,Chad Dallas,Dallas,,0,5500,TOR@TEX,TOR,TEX,IL,Undisclosed,,,,P
117427-5983,P,Rich,Rich Hill,Hill,5,4,5500,CIN@KC,KC,CIN,,,,,,P
117427-210813,P,Ryan,Ryan Miller,Miller,4.153846153846154,13,5500,SF@DET,DET,SF,,,,,,P
117427-161675,P,Jonathan,Jonathan Heasley,Heasley,-0.5,5,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-190370,P,Jackson,Jackson Wolf,Wolf,0,1,5500,MIA@SD,SD,MIA,,,,,,P
117427-157600,P,Austin,Austin Warren,Warren,6,1,5500,CWS@NYM,NYM,CWS,,,,,,P
117427-108461,P,Pete,Pete Fairbanks,Fairbanks,5.869565217391305,23,5500,MIN@TB,TB,MIN,,,,,,P
117427-210885,P,Erik,Erik Sabrowski,Sabrowski,10.153846153846153,13,5500,LAD@CLE,CLE,LAD,IL,Elbow,,,,P
117427-198619,P,Yuki,Yuki Matsui,Matsui,6.0476190476190474,22,5500,MIA@SD,SD,MIA,,,,,,P
117427-198618,P,Coleman,Coleman Crow,Crow,,0,5500,BOS@MIL,MIL,BOS,,,,,,P
117427-202726,P,Michel,Michel Otanez,Otanez,2,6,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-169957,P,Danny,Danny Young,Young,5.2,10,5500,CWS@NYM,NYM,CWS,IL,Elbow,,,,P
117427-79848,P,Paul,Paul Sewald,Sewald,4.428571428571429,14,5500,LAD@CLE,CLE,LAD,IL,Shoulder,,,,P
117427-79852,P,Lucas,Lucas Erceg,Erceg,4.75,24,5500,CIN@KC,KC,CIN,,,,,,P
117427-210936,P,Evan,Evan Kravetz,Kravetz,2,1,5500,CIN@KC,CIN,KC,,,,,,P
117427-198655,P,Woo-Suk,Woo-Suk Go,Go,,0,5500,MIA@SD,MIA,SD,IL,Finger,,,,P
117427-79873,P,Dylan,Dylan Covey,Covey,0,2,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-178184,P,Kevin,Kevin Herget,Herget,6,1,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-79895,P,Miguel,Miguel Diaz,Diaz,3,1,5500,SF@DET,SF,DET,,,,,,P
117427-161827,P,Seth,Seth Martinez,Martinez,5.0227272727272725,44,5500,MIA@SD,MIA,SD,,,,,,P
117427-190516,P,Daysbel,Daysbel Hernandez,Hernandez,5.7272727272727275,22,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-79936,P,Mark,Mark Leiter Jr.,Leiter Jr.,6.68,25,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-104512,P,Geoff,Geoff Hartlieb,Hartlieb,4.2,5,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-149587,P,Jay,Jay Flaa,Flaa,,0,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-116839,P,David,David Bednar,Bednar,5,20,5500,PIT@ARI,PIT,ARI,,,,,,P
117427-116847,P,Cole,Cole Sulser,Sulser,5.5,8,5500,MIN@TB,TB,MIN,,,,,,P
117427-161906,P,Dauri,Dauri Moreta,Moreta,0,1,5500,PIT@ARI,PIT,ARI,IL,Elbow,,,,P
117427-161907,P,Dylan,Dylan Lee,Lee,4.8,25,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-194675,P,Luke,Luke Little,Little,-1,1,5500,COL@CHC,CHC,COL,,,,,,P
117427-116868,P,Gabe,Gabe Speier,Speier,6.130434782608695,23,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-170135,P,Yennier,Yennier Cano,Cano,4.045454545454546,22,5500,STL@BAL,BAL,STL,,,,,,P
117427-80033,P,Emilio,Emilio Pagan,Pagan,5.16,25,5500,CIN@KC,CIN,KC,,,,,,P
117427-80034,P,Jose,Jose Alvarado,Alvarado,7.05,20,5500,ATL@PHI,PHI,ATL,NA,Suspension,,,,P
117427-145591,P,Eduard,Eduard Bazardo,Bazardo,5.238095238095238,21,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-145593,P,Carlos,Carlos Vargas,Vargas,5.590909090909091,22,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-145609,P,Peter,Peter Solomon,Solomon,,0,5500,COL@CHC,CHC,COL,,,,,,P
117427-194770,P,Nick,Nick Hernandez,Hernandez,6.6,5,5500,ATH@HOU,HOU,ATH,,,,,,P
117427-145620,P,Helcris,Helcris Olivarez,Olivarez,,0,5500,SF@DET,SF,DET,,,,,,P
117427-145627,P,Lucas,Lucas Gilbreath,Gilbreath,-7.5,3,5500,COL@CHC,COL,CHC,,,,,,P
117427-198874,P,Noah,Noah Schultz,Schultz,,0,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-145630,P,Kervin,Kervin Castro,Castro,,0,5500,NYY@LAA,NYY,LAA,,,,,,P
117427-145629,P,Mason,Mason Thompson,Thompson,0,1,5500,WSH@SEA,WSH,SEA,IL,Elbow,,,,P
117427-149731,P,Anthony,Anthony Bender,Bender,5.136363636363637,22,5500,MIA@SD,MIA,SD,,,,,,P
117427-178411,P,Michael,Michael Plassmeyer,Plassmeyer,0,1,5500,TOR@TEX,TEX,TOR,,,,,,P
117427-198890,P,Walter,Walter Pennington,Pennington,5.8125,16,5500,STL@BAL,BAL,STL,,,,,,P
117427-198896,P,Noble,Noble Meyer,Meyer,,0,5500,MIA@SD,MIA,SD,,,,,,P
117427-198901,P,Chase,Chase Hampton,Hampton,,0,5500,NYY@LAA,NYY,LAA,IL,Elbow,,,,P
117427-198915,P,Luis,Luis Morales,Morales,,0,5500,ATH@HOU,ATH,HOU,,,,,,P
117427-194816,P,Kyle,Kyle Hurt,Hurt,8.666666666666666,5,5500,LAD@CLE,LAD,CLE,IL,Elbow,,,,P
117427-198919,P,Robby,Robby Snelling,Snelling,,0,5500,MIA@SD,MIA,SD,,,,,,P
117427-198920,P,Dylan,Dylan Lesko,Lesko,,0,5500,MIN@TB,TB,MIN,,,,,,P
